ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;DOTTORANDI
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;01;Education;F;339
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;02;Arts and humanities;F;2689
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;06;Information and Communication Technologies (ICTs);F;214
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;10;Services;M;60
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;07;Engineering, manufacturing and construction;M;7209
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;99;Field unknown;M;139
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;04;Business, administration and law;M;1880
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;03;Social sciences, journalism and information;F;1910
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;99;Field unknown;M;101
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;09;Health and welfare;M;2145
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;06;Information and Communication Technologies (ICTs);M;768
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;05;Natural sciences, mathematics and statistics;F;6110
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;10;Services;F;52
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;01;Education;M;126
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;08;Agriculture, forestry, fisheries and veterinary;M;929
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;03;Social sciences, journalism and information;M;1453
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;05;Natural sciences, mathematics and statistics;M;6103
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;08;Agriculture, forestry, fisheries and veterinary;F;1238
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;04;Business, administration and law;F;2073
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;99;Field unknown;F;165
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;02;Arts and humanities;M;1918
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;07;Engineering, manufacturing and construction;F;3998
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;99;Field unknown;F;93
2023/2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DR;09;Health and welfare;F;3416
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;99;Field unknown;F;4
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;02;Arts and humanities;F;22
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;02;Arts and humanities;M;20
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;03;Social sciences, journalism and information;F;15
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;03;Social sciences, journalism and information;M;13
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;04;Business, administration and law;F;16
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;04;Business, administration and law;M;17
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;05;Natural sciences, mathematics and statistics;F;58
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;05;Natural sciences, mathematics and statistics;M;73
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;06;Information and Communication Technologies (ICTs);F;3
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;06;Information and Communication Technologies (ICTs);M;18
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;07;Engineering, manufacturing and construction;F;32
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;07;Engineering, manufacturing and construction;M;65
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;09;Health and welfare;F;30
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;09;Health and welfare;M;12
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;99;Field unknown;F;2
2023/2024;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;DR;99;Field unknown;M;1
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;02;Arts and humanities;F;26
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;02;Arts and humanities;M;21
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;04;Business, administration and law;F;13
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;04;Business, administration and law;M;22
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;05;Natural sciences, mathematics and statistics;F;19
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;05;Natural sciences, mathematics and statistics;M;10
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;07;Engineering, manufacturing and construction;F;17
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;07;Engineering, manufacturing and construction;M;20
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;08;Agriculture, forestry, fisheries and veterinary;F;46
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;08;Agriculture, forestry, fisheries and veterinary;M;28
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;09;Health and welfare;F;23
2023/2024;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;DR;09;Health and welfare;M;14
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;02;Arts and humanities;F;56
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;02;Arts and humanities;M;24
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;03;Social sciences, journalism and information;F;30
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;03;Social sciences, journalism and information;M;27
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;04;Business, administration and law;F;31
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;04;Business, administration and law;M;25
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;05;Natural sciences, mathematics and statistics;F;116
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;05;Natural sciences, mathematics and statistics;M;98
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;06;Information and Communication Technologies (ICTs);F;6
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;06;Information and Communication Technologies (ICTs);M;28
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;07;Engineering, manufacturing and construction;F;63
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;07;Engineering, manufacturing and construction;M;105
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;08;Agriculture, forestry, fisheries and veterinary;F;27
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;08;Agriculture, forestry, fisheries and veterinary;M;29
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;09;Health and welfare;F;30
2023/2024;08701;Catania - Universit  degli studi;Sicilia;ISOLE;DR;09;Health and welfare;M;17
2023/2024;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;DR;02;Arts and humanities;F;25
2023/2024;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;DR;02;Arts and humanities;M;7
2023/2024;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;DR;03;Social sciences, journalism and information;F;11
2023/2024;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;DR;03;Social sciences, journalism and information;M;1
2023/2024;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;DR;04;Business, administration and law;F;16
2023/2024;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;DR;04;Business, administration and law;M;15
2023/2024;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;DR;07;Engineering, manufacturing and construction;F;10
2023/2024;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;DR;07;Engineering, manufacturing and construction;M;16
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;99;Field unknown;F;1
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;99;Field unknown;M;1
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;02;Arts and humanities;F;39
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;02;Arts and humanities;M;22
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;03;Social sciences, journalism and information;F;14
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;03;Social sciences, journalism and information;M;22
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;04;Business, administration and law;F;31
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;04;Business, administration and law;M;32
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;05;Natural sciences, mathematics and statistics;F;95
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;05;Natural sciences, mathematics and statistics;M;73
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;06;Information and Communication Technologies (ICTs);F;4
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;06;Information and Communication Technologies (ICTs);M;7
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;07;Engineering, manufacturing and construction;F;18
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;07;Engineering, manufacturing and construction;M;31
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;08;Agriculture, forestry, fisheries and veterinary;F;34
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;08;Agriculture, forestry, fisheries and veterinary;M;17
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;09;Health and welfare;F;29
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;09;Health and welfare;M;39
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;99;Field unknown;F;1
2023/2024;08301;Messina - Universit  degli studi;Sicilia;ISOLE;DR;99;Field unknown;M;2
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;01;Education;F;4
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;01;Education;M;4
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;02;Arts and humanities;F;67
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;02;Arts and humanities;M;49
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;03;Social sciences, journalism and information;F;46
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;03;Social sciences, journalism and information;M;29
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;04;Business, administration and law;F;49
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;04;Business, administration and law;M;40
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;05;Natural sciences, mathematics and statistics;F;149
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;05;Natural sciences, mathematics and statistics;M;124
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;07;Engineering, manufacturing and construction;F;94
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;07;Engineering, manufacturing and construction;M;137
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;08;Agriculture, forestry, fisheries and veterinary;F;31
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;08;Agriculture, forestry, fisheries and veterinary;M;34
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;09;Health and welfare;F;72
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;09;Health and welfare;M;58
2023/2024;08201;Palermo - Universit  degli studi;Sicilia;ISOLE;DR;99;Field unknown;M;2
2023/2024;08001;Reggio Calabria - Universit  degli studi Mediterranea;Calabria;SUD;DR;03;Social sciences, journalism and information;M;1
2023/2024;08001;Reggio Calabria - Universit  degli studi Mediterranea;Calabria;SUD;DR;04;Business, administration and law;F;8
2023/2024;08001;Reggio Calabria - Universit  degli studi Mediterranea;Calabria;SUD;DR;04;Business, administration and law;M;7
2023/2024;08001;Reggio Calabria - Universit  degli studi Mediterranea;Calabria;SUD;DR;07;Engineering, manufacturing and construction;F;21
2023/2024;08001;Reggio Calabria - Universit  degli studi Mediterranea;Calabria;SUD;DR;07;Engineering, manufacturing and construction;M;32
2023/2024;08001;Reggio Calabria - Universit  degli studi Mediterranea;Calabria;SUD;DR;08;Agriculture, forestry, fisheries and veterinary;F;18
2023/2024;08001;Reggio Calabria - Universit  degli studi Mediterranea;Calabria;SUD;DR;08;Agriculture, forestry, fisheries and veterinary;M;12
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;03;Social sciences, journalism and information;F;30
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;03;Social sciences, journalism and information;M;16
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;04;Business, administration and law;F;23
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;04;Business, administration and law;M;20
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;05;Natural sciences, mathematics and statistics;F;30
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;05;Natural sciences, mathematics and statistics;M;15
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;07;Engineering, manufacturing and construction;F;7
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;07;Engineering, manufacturing and construction;M;8
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;09;Health and welfare;F;60
2023/2024;07901;"Catanzaro - Universit  degli studi ""Magna Grecia""";Calabria;SUD;DR;09;Health and welfare;M;36
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;02;Arts and humanities;F;10
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;02;Arts and humanities;M;10
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;03;Social sciences, journalism and information;F;10
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;03;Social sciences, journalism and information;M;9
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;04;Business, administration and law;F;11
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;04;Business, administration and law;M;20
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;05;Natural sciences, mathematics and statistics;F;104
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;05;Natural sciences, mathematics and statistics;M;82
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;07;Engineering, manufacturing and construction;F;22
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;07;Engineering, manufacturing and construction;M;72
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;99;Field unknown;F;2
2023/2024;07801;Arcavacata di Rende - Universit  della Calabria;Calabria;SUD;DR;99;Field unknown;M;7
