ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;LAU
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;02;Arts and humanities;F;82
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;9249
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;M;181
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;F;443
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;M;812
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;F;1160
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;6043
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;M;1444
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;02;Arts and humanities;M;11
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;02;Arts and humanities;M;15
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;01;Education;M;234
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;01;Education;F;4812
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;10;Services;M;2936
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;10;Services;F;1937
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;09;Health and welfare;M;2942
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;09;Health and welfare;F;4497
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;8398
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;06;Information and Communication Technologies (ICTs);F;1
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;01;Education;F;13319
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;09;Health and welfare;M;9
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;09;Health and welfare;F;12
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;M;4
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;F;2
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;07;Engineering, manufacturing and construction;M;29
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;01;Education;F;72
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;06;Information and Communication Technologies (ICTs);M;2
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;02;Arts and humanities;F;61
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;M;6
