ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;DOTTORI
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;1;Education;F;87
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;1;Education;M;27
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;2;Arts and humanities;F;592
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;2;Arts and humanities;M;439
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;3;Social sciences, journalism and information;F;428
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;3;Social sciences, journalism and information;M;336
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;4;Business, administration and law;F;468
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;4;Business, administration and law;M;437
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;1544
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;1510
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);F;53
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);M;196
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;7;Engineering, manufacturing and construction;F;777
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;1583
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;F;265
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;M;220
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;9;Health and welfare;F;709
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;9;Health and welfare;M;540
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;10;Services;F;6
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;10;Services;M;22
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;99;Field unknown/corso vecchio ordinamento;F;1
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;99;Field unknown/corso vecchio ordinamento;M;1
